_id,search_text,link,comp_name,address,from_google,from_website,from_dnb,from_oc,from_avention
5eb646ce3b4442b4da91c057,CourseLink,https://help.blackboard.com/Learn/Instructor/Course_Content/Create_Content/Create_Course_Materials/Link_to_Content_and_Tools,CourseLink,None,None,None,None,None,None
5eb6479687b6932b9e6de098,www.coursesdirect.com.au,http://www.coursesdirect.com.au/,Courses Direct,"63 Ridley St, Charlestown NSW 2290, Australia","['63 Ridley St, Charlestown NSW 2290, Australia', ['Courses Direct Distance Education Schools, address', 'knowledge_panel']]",None,None,None,"['63 Ridley Street Charlestown, New South Wales, 2290 Australia', '/company/b0a388ca-8e23-3dfc-a70d-87f5261f033f']"
5eb648bf6bc924ef46ab60da,www.cuberider.com/,https://launchpad.cuberider.com/,Cuberider,None,None,None,None,None,None
5eb64a8e96bdd2bbbb3287e5,devika.com/,https://devika.com/,Devika,"3 , F 25 Exchange Pl, Barangaroo NSW 2000","['International Towers, Tower 3, F 25 Exchange Pl, Barangaroo NSW 2000, Australia', ['Devika in Sydney, address', 'knowledge_panel']]","['3 , F 25 Exchange Pl, Barangaroo NSW 2000']",None,None,"['Shp 5 50 O G Rd Klemzig, South Australia, 5087 Australia', '/company/e16f6a68-c4fb-3c5c-b7e1-07ae2506a7b2']"
5eb64bc810a22fecd4eca987,dienstconsulting.com/,https://dienstconsulting.com/,Dienst Consulting,"Suite  47 , 50 St Georges Tce, Perth Western Australia 6000","['50 St Georges Terrace, Perth WA 6000, Australia', ['Dienst Consulting, address', 'knowledge_panel']]","['Suite  47 , 50 St Georges Tce, Perth Western Australia 6000', 'Level  6 , 191 St Georges Tce, Perth Western Australia 6000', 'Suite  47 , 50 St Georges Terrace Perth, WA 6000 Australia']",None,None,"['Se 47 50 St Georges Tce Perth, Western Australia, 6000 Australia', '/company/62f993c6-4948-3a5c-8110-927887d3606b']"
5eb64cfc8c94747a21f39855,digiskool.co.ke/ austraila,https://www.digischoolgroup.com/en/produits,digiskool,None,None,None,None,None,None
5eb64e13158973dfa9982019,www.digistorm.com.au/,https://www.digistorm.com.au/,Digistorm,"Suite G2/2019 Gold Coast Hwy, Miami QLD 4220, Australia","['Suite G2/2019 Gold Coast Hwy, Miami QLD 4220, Australia', ['Digistorm Pty Ltd, address', 'knowledge_panel']]",None,None,None,"['Se G2 2019 Gold Coast Highway Miami, Queensland, 4220 Australia', '/company/9231dadf-c0cc-3500-bdc4-a5c7f4c4f75b']"
5eb64f4ea0549166c51ca057,www.dynamicwebtraining.com.au/,https://www.dynamicwebtraining.com.au/,Dynamic Web Training Pty Ltd.,"19 Young Street, Adelaide, SA 5000","['level 11/32 Walker St, North Sydney NSW 2060, Australia', ['Dynamic Web Training, address', 'knowledge_panel']]","['19 Young Street, Adelaide, SA 5000', 'Level  12 379 Collins Street Melbourne VIC 3000', 'Level  12 , 379 Collins Street, Melbourne, VIC 3000', '1 /140 St Georges Terrace   Perth WA 6000', 'Level  11 , 32 Walker street, North Sydney, NSW 2060', 'Level  11 , 32 Walker Street North Sydney NSW 2060', '4 /54 Marcus Carke Street   Canberra ACT 2601', 'Level  1 , 33-35 Ainslie Place, Canberra, ACT 2601', '6 /371 Queen Street   Brisbane QLD 4000', 'Level  6 , 371 Queens Street, Brisbane, QLD 4000', 'Level  4 , 54 Marcus Clarke Street Canberra ACT 2601', '12 /379 Collins Street   Melbourne VIC 3000', '19 Young Street   Adelaide SA 5000', 'Level  1 , 140 St Georges Terrace,  Perth , WA 6000', 'Level  6 , 371 Queen Street,  Brisbane , QLD 4000', 'Level  11 ,  32 Walker Street North Sydney NSW 2060', '11 /32 Walker Street  North Sydney NSW 2060', 'Level  1 , 140 St Georges Terrace, Perth, WA 6000', '4 /54 Marcus Clarke Street  Canberra ACT 2601']",None,"['BUNDOORA3083VictoriaAustralia', 'https://opencorporates.com/companies/au/605506563']",None
5eb650acab06d680d6990351,EDflix austraila austraila austraila,https://www.f6s.com/edflix,EDflix austraila austraila austraila,None,None,None,None,None,None
5eb651bc5fa088c453991725,edpotential.com/,https://www.edpotential.com/,EdPotential,69 Gracefield Road Lower Hutt 5010 New Zealand,None,['69 Gracefield Road Lower Hutt 5010 New Zealand'],"['Gracefield Innovation Quarter 69 Gracefield Road Lower Hutt,, WELLINGTON, 5010 New Zealand', 'https://www.dnb.com/business-directory/company-profiles.edpotential_limited.f8285dd020a6b7eda737cd52af25ba03.html']","['Level 19, 1 Willis Street, Wellington Central, Wellington6011NZ', 'https://opencorporates.com/companies/nz/9429046998859']",None
