_id,search_text,link,comp_name,contact_person,from_website,from_google,from_crunchbase,from_dnb,from_oc,from_owler,from_oc_agent,from_li,cb_link
5eb62e2a134cc6fb9536e93d,https://www.2and2.com.au/about/what-we-do,https://www.2and2.com.au/,2 and 2,"['Leon Young', 'Managing Director and R&D Lead']","['Leon Young', 'Managing Director and R&D Lead']","['Leon Young', 'CEO']","[' Steve Fanale', 'founder(s)']","[['LEON CLIVE YOUNG', 'Director'], ['STEVEN ROBERT FANALE', 'Director'], ['STEVEN ROBERT FANALE', 'Secretary']]",None,None,None,"[['Randy Olan ', 'Implementation Director_2and2'], ['Alex Reid ', 'Founder_2and2'], ['Marcus Lam ', 'Development Team Leader_2and2'], ['Phil Douglas ', 'Development team leader_2and2'], ['Phil Douglas ', 'Chief Technology Officer_Vitable'], ['Leon Young ', 'CEO and R&D Lead_Cogniss'], ['Mark Martin ', 'Contract Project Manager_Liberate ...']]",https://www.crunchbase.com/organization/2and2
5eb630147afe26eca4ba7bfa,https://www.answersportals.com/,https://www.answersportals.com/,Answers Portals,"['Programming Homework Help ', 'Business ..._LinkedIn']",None,None,None,None,None,None,None,"[['Programming Homework Help ', 'Business ..._LinkedIn']]",https://www.crunchbase.com/organization/answers-portals
5eb6311c86662885174692de,https://arludo.com/,https://arludo.com/,arludo,"['Michael Kasumovic', 'founder']",None,"['Michael Kasumovic', 'founder']","[' Michael Kasumovic', 'founder(s)']",None,None,None,None,"[['Andrew Harris ', 'Lead Designer_arludo'], ['Matt Batchelor ', 'Game Programmer_arludo'], ['Michael Kasumovic ', 'Associate Professor_UNSW ...'], ['Tom Hill ', 'Front End Developer_arludo'], ['Emily Laimanovska ', 'Game Programmer_arludo'], ['Phillip Thai ', 'Operations Management Consultant ..._LinkedIn'], ['Phillip Thai ', 'Product Management (Strategy ..._LinkedIn']]",https://www.crunchbase.com/organization/arludo
5eb631f1fac479799dedd1f8,www.assignmenthelpservices.com/,https://www.assignmenthelpservices.com/,Assignment Help Services,"['Online Assignment Help ', 'Manager_www ...']",None,None,None,None,None,None,None,"[['Online Assignment Help ', 'Manager_www ...'], ['Nicole Valerio ', 'Cheap Assignment Help_Self ...'], ['Students Assignment Help ', 'Assignment Helpers ..._LinkedIn'], ['Assignment Writing Help ', 'Assignment Help UK ..._LinkedIn'], ['Karen Wilson ', 'Assignment Help Provider ..._LinkedIn']]",https://www.crunchbase.com/organization/assignment-help-services
5eb6331597c8f5512179c4f1,https://getatomi.com/,https://getatomi.com/,Atomi,"["" Rob Barakat, Thomas O'Donahoo"", 'founder(s)']",None,None,"["" Rob Barakat, Thomas O'Donahoo"", 'founder(s)']",None,None,None,None,None,https://www.crunchbase.com/organization/atomi
5eb634492802acb8c48e02aa,www.schoolappsolution.com.au,https://www.schoolappsolution.com.au/,School App Solution,"['Vikash Jangid -', 'CEO']",None,"['Vikash Jangid -', 'CEO']",None,None,None,None,None,"[['Matthew Becker ', 'Technology Learning Facilitator ..._LinkedIn'], ['James Ross ', 'Engineer_Birdon Group'], ['Lindsay Bava ', 'learning facilitator_Kangan Batman ...'], ['Kathleen Go ', 'Co CEO_Oasis Group'], ['Jack McGrath ', 'Graduate Consultant_Lead ...'], ['Matthew Becker ', 'Director_SchoolSync Pty Ltd']]",https://www.crunchbase.com/organization/school-app-solution
5eb63539be65b70e5af0c7a9,www.australianassignmentshelp.com/,https://www.australianassignmentshelp.com/,Australian assignments help,"['Elizabeth Mailey ', 'Content Writer_Self']",None,None,None,None,None,None,None,"[['Elizabeth Mailey ', 'Content Writer_Self']]",https://www.crunchbase.com/organization/australian-assignment-help-australia
5eb6363894bd0b097f9c2734,australianhelp.com/,https://australianhelp.com/,Australian Help,"['Willem Janszoon', 'CEO']",None,"['Willem Janszoon', 'CEO']",None,None,None,None,None,"[['Callan Tenabel ', 'Managing Director_Owner ...'], ['Nick Allison ', 'Completions Manager_Decon ...'], ['Elizabeth Kersley ', 'Melbourne_ Australia ..._LinkedIn'], ['Shane Richards ', 'IT Service Desk CMDB (Asset ..._LinkedIn'], ['Brent Snow ', 'Chief Technology Officer_NSW ...']]",https://www.crunchbase.com/organization/australian-help
5eb6378b772150870b5c8d27,www.beautycoursesonline.com/,https://www.beautycoursesonline.com/,Beauty Courses Online,"['Liesl HERMANN', ' director']",None,None,None,None,"[['Liesl HERMANN', ' director']]","['Aurelian Lis', 'CEO']",None,"[['Falak Naz ', 'beautician_Beauty Courses Online'], ['Shaunelle Ladd ', 'Managing Director_Self'], ['Amanda Harrington ', 'Senior Associate_Scanlan ...']]",https://www.crunchbase.com/organization/fresh-discover-beauty-online
5eb639ee2c60aae411d1ae8b,brainpump.net/,http://brainpump.net/,Brain Pump,"['Tony Lobb ', 'General Manager VP Australia_Strata ...']",None,None,None,None,None,None,None,"[['Tony Lobb ', 'General Manager VP Australia_Strata ...'], ['Emil Mustafayev ', 'Hydraulic Engineer_Caspian ...'], ['Tony Lobb ', 'General Manager VP Australia_Strata ...']]",https://www.crunchbase.com/organization/brain-pump
5eb63aff81de1c4846fd91ab,www.careercake.com/,https://www.careercake.com/,Careercake,"['Aimee Bateman', 'Founder & CEO (current)']","['Aimee Bateman', 'Founder & CEO (current)']","['Aimee Bateman', 'CEO']","[' Aimee Bateman', 'founder(s)']",None,None,None,None,None,https://www.crunchbase.com/organization/careercake
