_id,search_text,title,link,comp_name,query_id,addresses,emails,telephone_numbers,guided_lda_results,textrank_results,kpe_results,wordcloud_results_tri,oc_cp_info,dnb_cp_info,linkedin_cp_info,comp_type_pred,company_size_li,description_li,founded_li,headquarters_li,image_li,industry_li,name_li,num_employees_li,specialties_li,type_li,website_li,agent_address_oc,agent_name_oc,alternative_names_oc,business_classification_text_oc,company_number_oc,company_type_oc,directors_or_officers_oc,incorporation_date_oc,jurisdiction_oc,previous_company_numbers_oc,registered_address_adr_oc,registry_page_oc,status_oc,company_address_dnb,company_contacts_dnb,company_related_industries_dnb,company_revenue_dnb,company_snapshot_dnb,company_summary_dnb,company_tp_dnb,company_trade_name_dnb,company_type_dnb,company_web_dnb,alexa_rank,alexa_pageviews,important_person_company,google_cp,Company Type_cb,Contact Email_cb,Facebook_cb,Founded Date_cb,Founders_cb,Headquarters Regions_cb,IPO Status_cb,Industries_cb,Number of Employees_cb,Operating Status_cb,Phone Number_cb,Twitter_cb,Website_cb,comp_description_cb,comp_headquaters_cb,comp_name_cb,google_tp,google_address
5eb62e2a134cc6fb9536e93d,https://www.2and2.com.au/about/what-we-do,2and2,https://www.2and2.com.au/,2 and 2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb630147afe26eca4ba7bfa,https://www.answersportals.com/,Answers Portals - A One stop shop for assignment and ...,https://www.answersportals.com/,Answers Portals,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb6311c86662885174692de,https://arludo.com/,Arludo,https://arludo.com/,arludo,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb631f1fac479799dedd1f8,www.assignmenthelpservices.com/,Assignment Help Services,https://www.assignmenthelpservices.com/,Assignment Help Services,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb6331597c8f5512179c4f1,https://getatomi.com/,Atomi | Learning made easy,https://getatomi.com/,Atomi,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb634492802acb8c48e02aa,www.schoolappsolution.com.au,School App Solution: Parent Communication & Engagement,https://www.schoolappsolution.com.au/,School App Solution,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb63539be65b70e5af0c7a9,www.australianassignmentshelp.com/,Australian Assignment Help - Best Assignment Writing Service,https://www.australianassignmentshelp.com/,Australian assignments help,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb6363894bd0b097f9c2734,australianhelp.com/,Australian Help: Assignment & Essay Writing Services by ...,https://australianhelp.com/,Australian Help,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb6378b772150870b5c8d27,www.beautycoursesonline.com/,Beauty Courses Online - Complete your beauty course at ...,https://www.beautycoursesonline.com/,Beauty Courses Online,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb639ee2c60aae411d1ae8b,brainpump.net/,Brain Pump - Learn something new,http://brainpump.net/,Brain Pump,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb63aff81de1c4846fd91ab,www.careercake.com/,Careercake | Watch Awesome Careers Content Anytime ...,https://www.careercake.com/,Careercake,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb63c1e9c69232f6ed6edd8,centralinnovation.com.au/,Central Innovation,https://centralinnovation.com.au/,Central Innovation Pty Ltd.,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb63d1b9d2ec0b892c42dd5,www.c-learning.com.au/,C-Learning - Home,https://www.c-learning.net/,C-Learning Pty,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb63e1ee805d1cff3d80a25,www.complierenterprise.com/,complierenterprise.com - This website is for sale ...,http://www.complierenterprise.com/,Complier Enterprise,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb63ee743b668cb27ef8137,www.compnow.com.au,CompNow - Innovative IT Services & Solutions,https://www.compnow.com.au/,CompNow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb640560732058562a400b3,www.convincely.com,Convincely™ - Experience The World's Best Plug-In Sales ...,https://convincely.com/,Convincely,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb646ce3b4442b4da91c057,CourseLink,Link to Content and Tools | Blackboard Help,https://help.blackboard.com/Learn/Instructor/Course_Content/Create_Content/Create_Course_Materials/Link_to_Content_and_Tools,CourseLink,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb6479687b6932b9e6de098,www.coursesdirect.com.au,coursesdirect.com.au parked with Netfleet.com.au,http://www.coursesdirect.com.au/,Courses Direct,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb648bf6bc924ef46ab60da,www.cuberider.com/,Cuberider | Launchpad,https://launchpad.cuberider.com/,Cuberider,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb64a8e96bdd2bbbb3287e5,devika.com/,Devika | Home,https://devika.com/,Devika,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb64bc810a22fecd4eca987,dienstconsulting.com/,Dienst Consulting | Where Service Meets I.T.,https://dienstconsulting.com/,Dienst Consulting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb64cfc8c94747a21f39855,digiskool.co.ke/ austraila,digiSchool websites for people from 15 to 25 years old,https://www.digischoolgroup.com/en/produits,digiskool.co.ke/ austraila,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5eb64e13158973dfa9982019,www.digistorm.com.au/,Digistorm: School Websites_ School Apps & Online Enrolments,https://www.digistorm.com.au/,Digistorm,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
